C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.9306,0.175148,0.0907224,-0.00172545,9.679789999999999,10.4849,-0.100011,0.25097800000000003,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.018709134978227293,1.3993124385512314e-07,,,0.1,0,,1,1
1.92672,0.171077,0.0887922,-0.00193022,9.683,10.4615,-0.100009,0.250473,,,,2,2,3,,9.94235429302019e-05,-0.00020488069020380132,-0.022489606166021612,,,2,0.002500000000000002,1,0,1,,2,0,0.018709134978227293,1.3993124385512314e-07,,,0.1,0,,1,1
1.92408,0.166993,0.0867914,-0.00200078,9.676960000000001,10.4388,-0.100008,0.25013,,,,2,3,4,,0.0003107501753599191,-0.0003533258432881465,-0.024976231407378195,,,3,0.005000000000000003,1,0,1,,2,0,0.01870913497822731,1.3993124385512314e-07,,,0.1,0,,1,1
1.9219,0.162911,0.08476560000000001,-0.0020258,9.67628,10.4168,-0.100007,0.24984699999999999,,,,2,4,5,,0.0005615372136762734,-0.0007664655486402816,-0.027429070873236913,,,4,0.007500000000000007,1,0,1,,2,0,0.018709134978227262,1.3993124385512314e-07,,,0.1,0,,1,1
1.9199099999999998,0.15883599999999998,0.0827307,-0.00203488,9.674430000000001,10.3954,-0.100005,0.24958899999999998,,,,2,5,6,,0.0008284591024613824,-0.0010230615444395729,-0.029901501094745125,,,5,0.010000000000000004,1,0,1,,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,,1,1
1.91803,0.154771,0.0806926,-0.0020381,9.671339999999999,10.3747,-0.100004,0.249344,,,,2,6,7,,0.001212889483132204,-0.0012811534795071017,-0.032358247283400025,,,6,0.012500000000000002,1,0,1,,2,0,0.018709134978227286,1.3993124385512314e-07,,,0.1,0,,1,1
1.91622,0.15071800000000002,0.0786537,-0.00203896,9.669410000000001,10.3545,-0.100003,0.24910900000000002,,,,2,7,8,,0.0015214840034455824,-0.00163761328281942,-0.03481338594153221,,,7,0.015000000000000003,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,1
1.91448,0.146678,0.076615,-0.00203869,9.66719,10.335,-0.10000099999999999,0.24888200000000002,,,,2,8,9,,0.00182016070660745,-0.001998194549657247,-0.03726914923977453,,,8,0.017500000000000005,1,0,1,,2,0,0.017222332693165338,1.3993124385512314e-07,,,0.1,0,,1,1
1.40415,0.179174,0.09244780000000001,-0.0463556,9.689060000000001,10.3176,-0.1,0.182539,0.002349821361603641,215.72668300795934,0.506919168,1,10,1,7.0,0.0017213217029296418,-0.0023385486517120456,-0.03954302137461572,0.5045693466383964,1.8699284573082775,9,0.019801326693244747,1,0,1,1.9801326693244747,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,0.9349642286541388,1,1
1.9381099999999998,0.183083,0.0935617,-0.00111389,9.819519999999999,10.5092,-0.100012,0.25195500000000004,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.0001,1e-09,,,0.1,0,,1,1
1.95682,0.186721,0.0925199,0.00104185,9.70375,10.5094,-0.100012,0.254386,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.0001,1e-09,,,0.1,0,,1,1
2.01817,0.189832,0.0840884,0.00843144,9.95138,10.5095,-0.100012,0.262363,,,,2,13,12,,0.0,0.0,-0.0125,,,12,0.0075,1,1,2,,3,0,0.0001,1e-09,,,0.1,0,,1,1
2.25753,,,0.042712400000000005,,10.5099,-0.100012,0.293478,,,,1,,,,0.0,0.0,-0.010245884900142803,,,13,0.009754115099857198,1,1,2,,3,0,,,,,0.1,0,,1,1
1.60209,0.345432,0.215614,-0.00174674,22.9034,7.3242899999999995,-0.100051,0.208271,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.018709134978227293,1.3993124385512314e-07,,,0.1,0,,1,2
1.59881,0.341928,0.213864,-0.00174982,22.9018,7.297960000000001,-0.100048,0.207846,,,,2,2,3,,9.94235429302019e-05,-0.00020488069020380132,-0.022489606166021612,,,2,0.002500000000000002,1,0,1,,2,0,0.018709134978227293,1.3993124385512314e-07,,,0.1,0,,1,2
1.59554,0.338427,0.212108,-0.00175572,22.9,7.27203,-0.10004500000000001,0.20742,,,,2,3,4,,0.0003107501753599191,-0.0003533258432881465,-0.024976231407378195,,,3,0.005000000000000003,1,0,1,,2,0,0.01870913497822731,1.3993124385512314e-07,,,0.1,0,,1,2
1.5923100000000001,0.334936,0.210346,-0.0017617999999999998,22.8983,7.24648,-0.10004199999999999,0.207,,,,2,4,5,,0.0005615372136762734,-0.0007664655486402816,-0.027429070873236913,,,4,0.007500000000000007,1,0,1,,2,0,0.018709134978227262,1.3993124385512314e-07,,,0.1,0,,1,2
1.58913,0.23269499999999999,0.14643,-0.00176686,22.8965,7.22133,-0.100038,0.20658600000000002,,,,3,5,6,,0.0008284591024613824,-0.0010230615444395729,-0.029901501094745125,,,5,0.010000000000000004,1,0,1,,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,,1,2
1.58568,0.229225,0.14456,-0.00186989,22.8946,7.203939999999999,-0.100035,0.20613800000000002,,,,2,6,7,,0.001212889483132204,-0.0012811534795071017,-0.032358247283400025,,,6,0.012500000000000002,1,0,1,,2,0,0.018709134978227286,1.3993124385512314e-07,,,0.1,0,,1,2
1.5828200000000001,0.22576100000000002,0.14263199999999998,-0.00192811,22.8926,7.1869,-0.10003200000000001,0.205767,,,,2,7,8,,0.0015214840034455824,-0.00163761328281942,-0.03481338594153221,,,7,0.015000000000000003,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,2
1.5803200000000002,0.222304,0.14067000000000002,-0.00196137,22.8906,7.17019,-0.10002899999999999,0.20544099999999998,,,,2,8,9,,0.00182016070660745,-0.001998194549657247,-0.03726914923977453,,,8,0.017500000000000005,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,2
1.57802,0.12116400000000001,0.0767821,-0.00198041,22.8886,7.1538,-0.100026,0.205143,,,,3,9,16,,0.00171278894147743,-0.0023679313878187573,-0.039739324532048176,,,9,0.020000000000000007,1,0,1,,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,,1,2
1.6053,0.11771500000000001,0.0747062,-0.00175176,22.8864,7.3510100000000005,-0.10005399999999999,0.20868899999999999,,,,2,16,17,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,3,2,,3,0,0.01870913497822725,1.3993124385512314e-07,,,0.1,0,,1,2
1.60832,0.11426300000000002,0.0725895,-0.00150589,22.8844,7.35116,-0.10005399999999999,0.20908200000000002,,,,2,17,18,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,3,2,,3,0,0.018709134978227324,1.3993124385512314e-07,,,0.1,0,,1,2
1.6128,0.110812,0.0704544,-0.00113978,22.8822,7.351310000000001,-0.10005399999999999,0.209664,,,,2,18,19,,0.0,0.0,-0.0125,,,12,0.0075,1,3,2,,3,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,2
1.61953,0.10736199999999999,0.0683103,-0.000586674,22.8801,7.35145,-0.10005499999999999,0.210538,,,,3,19,20,,0.0,0.0,-0.01,,,13,0.01,1,3,2,,3,0,0.018709134978227324,1.3993124385512314e-07,,,0.1,0,,1,2
0.9302520000000001,0.10391600000000001,0.0661614,-0.0414152,22.878,7.170030000000001,-0.1,0.120933,0.000660887257951024,516.4672973999061,0.341326656,1,20,21,16.0,0.0017946596850948319,-0.002525719832127512,-0.030309448169204403,0.34066576874204896,0.9349642286541388,14,0.011832470002755396,2,1,3,0.1832470002755393,2,1,0.01870913497822725,1.3993124385512314e-07,,,0.075,0,0.9349642286541388,6,2
0.9200219999999999,0.10047,0.0640088,-0.0413948,22.8822,7.121169999999999,-0.1,0.119603,0.0002937276702004551,1149.4465025020886,0.33762424320000006,1,21,22,17.0,0.0016087129352248023,-0.0025765211423467095,-0.03978083321829923,0.3373305155297996,0.9349642286541388,15,0.02023677937369167,2,2,4,0.023677937369166457,2,1,0.018709134978227304,1.3993124385512314e-07,,,0.05,0,0.9349642286541388,3,2
1.5757,0.0970188,0.0618495,-0.00207582,22.8799,7.1449,-0.100022,0.204842,,,,2,22,23,,0.0014327176811092615,-0.002473679949205838,-0.042221335275554404,,,16,0.022500000000000006,1,0,1,,2,0,0.0034427359443177075,1.3993124385512314e-07,,,0.1,0,,1,2
1.5741,0.0987635,0.0621496,-0.0021167,4.69978e-05,7.13628,-0.10001900000000001,0.20463399999999998,,,,2,5,14,,0.0011944888272802624,-0.002725910819161993,-0.04469714354790597,,,17,0.025,1,0,1,,2,0,0.1300249737485394,0.8176993929617459,,,0.1,0,,1,2
1.57282,0.0976922,0.06190790000000001,-0.00213518,3.1327e-05,7.12794,-0.100016,0.204466,,,,2,9,15,,0.0011008505601216377,-0.003052626987762646,-0.04717393349057339,,,18,0.027500000000000007,1,0,1,,2,0,0.08505479543918319,0.8176993929617428,,,0.1,0,,1,2
1.57169,0.348928,0.21736,-0.00214409,22.9052,7.119860000000001,-0.100013,0.204319,,,,2,10,1,,0.0010427108572455368,-0.0033679585041679373,-0.049653285383651706,,,19,0.03000000000000001,1,0,1,,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,,1,2
1.57064,0.352403,0.219112,-0.00214889,23.2331,7.11205,-0.10001,0.204183,,,,2,11,10,,0.0011094488012258358,-0.003684481733707939,-0.05213226886322451,,,20,0.032500000000000015,1,0,1,,2,0,0.0001,1e-09,,,0.1,0,,1,2
1.56964,0.355813,0.22061799999999998,-0.00215261,21.5827,7.1045,-0.100006,0.20405299999999998,,,,2,12,11,,0.0013140599583014235,-0.003937195217451712,-0.05461103270222455,,,21,0.03500000000000001,1,0,1,,2,0,0.0001,1e-09,,,0.1,0,,1,2
1.56863,0.359142,0.22175799999999998,-0.00215931,21.7182,7.0972100000000005,-0.100003,0.203922,,,,2,13,12,,0.00182360629528162,-0.004414222903849994,-0.05701161744700645,,,22,0.03750000000000001,1,0,1,,2,0,0.0001,1e-09,,,0.1,0,,1,2
0.9123950000000001,0.182799,0.11146600000000001,-0.041488599999999994,9.7966,7.09592,-0.1,0.118611,0.002349821361603641,142.69040969615486,0.3352969728,1,29,13,15.0,0.0019170755175956643,-0.004516128729205969,-0.05745037714210159,0.3329471514383963,1.8699284573082775,23,0.037960034088738506,1,0,1,3.7960034088738492,2,0,0.0001,1e-09,,,0.1,0,0.9349642286541388,1,2
1.61953,0.185781,0.110346,-0.0005869709999999999,10.1023,7.35153,-0.10005499999999999,0.21053899999999998,,,,2,30,29,,0.0020225424859373685,-2.476900181542729e-19,-0.008530536869268817,,,24,0.0125,2,4,7,,4,2,0.0001,1e-09,,,0.2,0,,2,2
1.6399599999999999,0.188411,0.10546300000000002,0.00111983,9.964369999999999,7.351610000000001,-0.10005499999999999,0.213195,,,,2,31,30,,0.004045084971874737,-4.953800363085458e-19,-0.007061073738537633,,,25,0.015000000000000001,2,4,7,,4,2,0.0001,1e-09,,,0.2,0,,2,2
1.68363,0.190552,0.0910466,0.00488295,10.0218,7.35169,-0.10005499999999999,0.21887199999999998,,,,2,32,31,,0.006067627457812106,-7.430700544628187e-19,-0.00559161060780645,,,26,0.0175,2,4,7,,4,2,0.0001,1e-09,,,0.2,0,,2,2
1.78652,0.179571,0.11087799999999999,0.0144162,7.66374,7.3518,-0.10005499999999999,0.232248,,,,2,24,13,,0.008090169943749474,-9.907600726170917e-19,-0.004122147477075266,,,27,0.02,2,4,7,,4,2,0.0001,1e-09,,,0.2,0,,2,2
2.09291,0.182799,0.11146500000000001,0.0496704,10.5117,7.352,-0.10005499999999999,0.27207800000000004,,,,1,25,24,,0.008387570252924281,-1.0271811062867277e-18,-0.0039060735046178275,,,28,0.020367606998669515,2,4,7,,4,2,0.0001,1e-09,,,0.2,0,,2,2
1.6399599999999999,0.185781,0.110346,0.00111995,10.7847,7.35153,-0.10005499999999999,0.213194,,,,2,26,25,,0.0,0.0,-0.0075,,,29,0.0125,1,3,2,,3,0,0.0001,1e-09,,,0.1,0,,1,2
1.6836200000000001,0.188411,0.10546300000000002,0.00488311,9.62514,7.35162,-0.10005499999999999,0.218871,,,,2,27,26,,0.0,0.0,-0.005,,,30,0.015,1,3,2,,3,0,0.0001,1e-09,,,0.1,0,,1,2
1.78652,0.190552,0.0910464,0.0144164,10.3601,7.351719999999999,-0.10005499999999999,0.23224699999999998,,,,2,28,27,,0.0,0.0,-0.0025,,,31,0.017499999999999998,1,3,2,,3,0,0.0001,1e-09,,,0.1,0,,1,2
2.09291,,,0.049670599999999995,,7.35193,-0.10005499999999999,0.27207800000000004,,,,1,,,,0.0,0.0,-0.0009674836071919035,,,32,0.019032516392808094,1,3,2,,3,0,,,,,0.1,0,,1,2
1.19925,0.323778,0.269983,-0.00237545,20.8661,4.6376599999999994,-0.10006699999999999,0.15590299999999999,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.018709134978227293,1.3993124385512314e-07,,,0.1,0,,1,3
1.19489,0.31963800000000003,0.267504,-0.0024791,20.8637,4.62323,-0.100064,0.155336,,,,2,2,3,,9.94235429302019e-05,-0.00020488069020380132,-0.022489606166021612,,,2,0.002500000000000002,1,0,1,,2,0,0.018709134978227293,1.3993124385512314e-07,,,0.1,0,,1,3
1.19068,0.315444,0.264928,-0.0025759,20.8539,4.609030000000001,-0.100061,0.154788,,,,2,3,4,,0.0003107501753599191,-0.0003533258432881465,-0.024976231407378195,,,3,0.005000000000000003,1,0,1,,2,0,0.01870913497822731,1.3993124385512314e-07,,,0.1,0,,1,3
1.1866,0.3112,0.262261,-0.00266642,20.8511,4.59508,-0.10005800000000001,0.154258,,,,2,4,5,,0.0005615372136762734,-0.0007664655486402816,-0.027429070873236913,,,4,0.007500000000000007,1,0,1,,2,0,0.018709134978227262,1.3993124385512314e-07,,,0.1,0,,1,3
1.18265,0.238852,0.201962,-0.00275125,20.8405,4.58135,-0.10005499999999999,0.153745,,,,3,5,6,,0.0008284591024613824,-0.0010230615444395729,-0.029901501094745125,,,5,0.010000000000000004,1,0,1,,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,,1,3
1.1780899999999999,0.23451,0.19906,-0.00290222,20.8376,4.57086,-0.100052,0.153151,,,,2,6,7,,0.001212889483132204,-0.0012811534795071017,-0.032358247283400025,,,6,0.012500000000000002,1,0,1,,2,0,0.018709134978227286,1.3993124385512314e-07,,,0.1,0,,1,3
1.17391,0.23011900000000002,0.196027,-0.00303283,20.8343,4.56059,-0.100049,0.152608,,,,2,7,8,,0.0015214840034455824,-0.00163761328281942,-0.03481338594153221,,,7,0.015000000000000003,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.17005,0.225679,0.19288,-0.0031474,20.8329,4.55055,-0.100047,0.152106,,,,2,8,9,,0.00182016070660745,-0.001998194549657247,-0.03726914923977453,,,8,0.017500000000000005,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.16645,0.162904,0.139659,-0.00324921,20.8237,4.54074,-0.10004400000000001,0.15163800000000002,,,,3,9,16,,0.00171278894147743,-0.0023679313878187573,-0.039739324532048176,,,9,0.020000000000000007,1,0,1,,2,0,0.01870913497822728,1.3993124385512314e-07,,,0.1,0,,1,3
1.20377,0.158362,0.13625,-0.00226443,20.8205,4.65233,-0.10007,0.15649000000000002,,,,2,16,17,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,4,2,,3,0,0.01870913497822725,1.3993124385512314e-07,,,0.1,0,,1,3
1.20845,0.153765,0.13271,-0.00199753,20.8162,4.65241,-0.10007,0.15709800000000002,,,,2,17,18,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,4,2,,3,0,0.018709134978227324,1.3993124385512314e-07,,,0.1,0,,1,3
1.21393,0.149114,0.129057,-0.00168347,20.8127,4.6525,-0.10007,0.15781099999999998,,,,2,18,19,,0.0,0.0,-0.0125,,,12,0.0075,1,4,2,,3,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.2203899999999999,0.10238,0.0888354,-0.00131096,20.8089,4.65258,-0.10007,0.158651,,,,3,19,20,,0.0,0.0,-0.01,,,13,0.01,1,4,2,,3,0,0.018709134978227324,1.3993124385512314e-07,,,0.1,0,,1,3
1.16945,0.0976155,0.0849471,-0.00318459,20.805,4.55299,-0.09799630000000001,0.152029,,,,2,20,21,,0.0021466260863419124,-0.0030731064093329503,-0.03045805464520689,,,14,0.012500000000000002,2,1,3,,2,1,0.01870913497822725,1.3993124385512314e-07,,,0.075,0,,6,3
1.14645,0.0927899,0.08094660000000001,-0.00311795,20.801,4.41944,-0.0982319,0.149039,,,,2,21,22,,0.0006139178211813258,-0.004570295462820268,-0.040177587857141574,,,15,0.022500000000000006,2,2,4,,2,1,0.018709134978227304,1.3993124385512314e-07,,,0.05,0,,3,3
1.16229,0.0879029,0.0768502,-0.00340845,20.7969,4.53368,-0.10004099999999999,0.151098,,,,2,22,23,,0.0014327176811092615,-0.002473679949205838,-0.042221335275554404,,,16,0.022500000000000006,1,0,1,,2,0,0.01870913497822725,1.3993124385512314e-07,,,0.1,0,,1,3
1.15865,0.08295169999999999,0.07266689999999999,-0.00354047,20.7928,4.52683,-0.100038,0.150625,,,,2,23,41,,0.0011944888272802624,-0.002725910819161993,-0.04469714354790597,,,17,0.025,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.15541,0.077927,0.0683984,-0.0036525999999999998,20.7885,4.52021,-0.100035,0.150203,,,,2,41,42,,0.0011008505601216377,-0.003052626987762646,-0.04717393349057339,,,18,0.027500000000000007,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.15246,0.0728055,0.0640356,-0.00375003,20.7841,4.5138,-0.10003200000000001,0.14982,,,,3,42,43,,0.0010427108572455368,-0.0033679585041679373,-0.049653285383651706,,,19,0.03000000000000001,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.14913,0.06753200000000001,0.0595481,-0.00388828,20.7796,4.50941,-0.10002899999999999,0.149387,,,,2,43,44,,0.0011094488012258358,-0.003684481733707939,-0.05213226886322451,,,20,0.032500000000000015,1,0,1,,2,0,0.018709134978227304,1.3993124385512314e-07,,,0.1,0,,1,3
1.14631,0.0619717,0.0548553,-0.00400051,20.7749,4.505240000000001,-0.100026,0.14902,,,,2,44,45,,0.0013140599583014235,-0.003937195217451712,-0.05461103270222455,,,21,0.03500000000000001,1,0,1,,2,0,0.01870913497822725,1.3993124385512314e-07,,,0.1,0,,1,3
1.14382,0.0557638,0.049734,-0.00409639,20.7699,4.50128,-0.100023,0.148697,,,,2,45,46,,0.00182360629528162,-0.004414222903849994,-0.05701161744700645,,,22,0.03750000000000001,1,0,1,,2,0,0.018709134978227352,1.3993124385512314e-07,,,0.1,0,,1,3
1.14153,0.0477709,0.0434642,-0.00418326,20.7638,4.49754,-0.10002,0.148399,,,,2,46,47,,0.0023315535572462466,-0.004968017871715427,-0.059396004310044735,,,23,0.04000000000000001,1,0,1,,2,0,0.005854774340908277,1.3993124385512314e-07,,,0.1,0,,1,3
1.23569,0.0680592,0.0575478,-0.00041967,0.00779447,4.65262,-0.10007,0.160639,,,,2,5,14,,0.0020225424859373685,-2.476900181542729e-19,-0.008530536869268817,,,24,0.0125,2,5,7,,4,2,0.17739031683059941,0.26416114470132235,,,0.2,0,,2,3
1.2572,0.0635751,0.054363199999999993,0.0008536230000000001,0.00460987,4.65267,-0.10007,0.163436,,,,2,14,33,,0.004045084971874737,-4.953800363085458e-19,-0.007061073738537633,,,25,0.015000000000000001,2,5,7,,4,2,0.17739031683059953,0.26416114470132235,,,0.2,0,,2,3
1.28857,0.058925599999999995,0.0508564,0.00275277,0.00110305,4.65271,-0.10007,0.167514,,,,2,33,34,,0.006067627457812106,-7.430700544628187e-19,-0.00559161060780645,,,26,0.0175,2,5,7,,4,2,0.17739031683059941,0.2779167694081325,,,0.2,0,,2,3
1.33666,0.0541023,0.0470765,0.00576553,-0.00267687,4.65276,-0.10007,0.173766,,,,2,34,35,,0.008090169943749474,-9.907600726170917e-19,-0.004122147477075266,,,27,0.02,2,5,7,,4,2,0.17739031683059941,0.3444904785999631,,,0.2,0,,2,3
1.41616,0.048969099999999995,0.0429752,0.0110317,-0.0067782,4.652819999999999,-0.10007,0.184101,,,,2,35,36,,0.010112712429686843,-1.2384500907713653e-18,-0.0026526843463440847,,,28,0.0225,2,5,7,,4,2,0.0767255073555263,0.38444324609927855,,,0.2,0,,2,3
1.2203899999999999,0.05828969999999999,0.0499721,-0.00131116,0.00605427,4.65262,-0.10007,0.158651,,,,2,9,15,,0.0,0.0,-0.0075,,,29,0.0125,1,4,2,,3,0,0.8980384789549094,0.299251111269233,,,0.1,0,,1,3
1.23569,0.053716099999999996,0.0468541,-0.000419741,0.00293632,4.65266,-0.10007,0.16064,,,,2,15,37,,0.0,0.0,-0.005,,,30,0.015,1,4,2,,3,0,0.8980384789549105,0.37705335260143896,,,0.1,0,,1,3
1.2572,0.049043800000000005,0.0436332,0.000853538,-0.000284638,4.65271,-0.10007,0.163437,,,,2,37,38,,0.0,0.0,-0.0025,,,31,0.017499999999999998,1,4,2,,3,0,0.8980384789549094,0.51027940175846,,,0.1,0,,1,3
1.28857,0.0440798,0.0400936,0.00275267,-0.00382416,4.65275,-0.10007,0.167515,,,,2,38,39,,0.0,0.0,0.0,,,32,0.019999999999999997,1,4,2,,3,0,0.7221274660475131,0.7138825274532072,,,0.1,0,,1,3
1.15867,0.042032400000000004,0.036471699999999996,-0.00350682,3.9131e-05,4.52679,-0.0967786,0.150627,,,,2,19,40,,0.003581998916426774,-0.005093409962106367,-0.03078680742968983,,,33,0.015000000000000003,2,1,3,,2,1,7.716827280043194,0.8176993929617304,,,0.075,0,,6,3
