krs_P0,krs_P1,krs_P2,krs_P3
0.0,0.0,1.9430892282840468e-05,2.2408180607858668e-05
5.5027925338934905e-05,6.826716630416238e-05,5.320759985603394e-05,7.600784925532395e-05
0.00011203395217468929,0.00011202883695429011,8.815328530471953e-05,9.226258911869482e-05
0.00017030582106829597,0.00015726468298626946,0.00012233757082492677,0.00010778878403559057
0.00022730754411132877,0.00021526480697424514,0.00018268410355329678,0.00019196498038546737
0.0003058158425913934,0.0002754816042110409,0.00023375185812113172,0.0002467555643484848
0.00037452300544379015,0.00032982375190437647,0.00028269002813894836,0.00029270551693698284
0.00044742187621365115,0.00039218135696868293,0.00034221195797950365,0.00038320957754690074
0.0005352897920579016,0.00045952171076536356,0.00040034239816824836,0.00045505926144392956
0.000612699344329978,0.0005220390047803186,0.0004616909789997843,0.0005150404934228325
0.0006825275095356637,0.0005937970232029881,0.0005246879607362602,0.0006074087509265712
0.0007667786021254421,0.000656363613812417,0.0005841546498663003,0.0006850671611360848
0.0008387394705520445,0.000714815098840523,0.0006479033086303231,0.0007489306664414173
0.000908545057434724,0.0007687765629103327,0.0006982929802068331,0.0008192415237033828
0.0009829909277261413,0.0008248930355557927,0.0007470888886993556,0.0008871461887639607
0.0010482058506291574,0.0008754134805907748,0.0007962170696908162,0.0009427873356395898
0.001112470660991921,0.0009273665831752263,0.0008463833640968701,0.0009975618088725118
0.0011867469852760374,0.0009786612742115665,0.000885676872422532,0.0010435497517856677
0.0012461236747786212,0.0010271001744623428,0.000925719743264234,0.0010835879639137362
0.0013038731939664415,0.0010700551070369092,0.0009646139558703474,0.0011194749772571024
0.0013648188022824654,0.0011138048910001959,0.001004352476126638,0.0011598376677215616
0.00141989062262217,0.0011556916361055891,0.0010376690082156595,0.0011854866184403709
0.00146972943819261,0.0011968355965489392,0.0010716148471816018,0.0012150109562342262
0.0015262787346216064,0.0012386196775563258,0.0011022436672833583,0.0012359671188702656
0.001574266180167995,0.0012760567717592247,0.0011237042520546216,0.0012569080906360093
0.0016183514430844665,0.0013165830656533043,0.0011476324954841593,0.0012719659435486649
0.0016704098046616944,0.0013453009399376835,0.0011729131158262887,0.0012806813570484905
0.0017098060381409148,0.0013749576875269698,0.0011973396838137354,0.0012883717096179382
