krs_P0,krs_P1,krs_P2,krs_P3
0.0,0.0,0.00017052912290617433,0.0002639360971845172
0.00030060005993207334,0.0003582225540406684,0.0003787090107898672,0.0005878974281014213
0.00044721850705771904,0.0005099354157625003,0.0005293977378133673,0.0007788794713755109
0.0007076956728384689,0.0007912561003321214,0.0008179937456090164,0.001136797958505673
0.0012439486905185975,0.001421589926878574,0.0014890102492802891,0.0021042846811132315
0.0018322014804505213,0.002039472680292055,0.0021128653148593125,0.0029360538909289397
0.002384477564170751,0.002621203931688025,0.0027151712043451816,0.003714215409340092
0.0029074020173606757,0.0032334247218034993,0.003353539995024071,0.004661301125794276
0.0033544799676322374,0.0037071827615338575,0.003818903007081381,0.005348097899723868
0.003841456358814563,0.004238172138510451,0.004348583938850652,0.006065645409674563
0.004448695408992153,0.0049252443784889135,0.0050497436571144425,0.007060388972815897
0.0051922276392787434,0.005711097929493183,0.005858329743300231,0.008144736935591987
0.006009119489235185,0.006589851708842187,0.0067629276347532016,0.009320885345363641
0.006794111383041575,0.0074456784235855345,0.007626097894736625,0.010433750244366815
0.00752066784488896,0.008247972167972666,0.00844678654315839,0.01148557970231376
0.008227800762961176,0.009011227191472522,0.009234757201750394,0.012478658032991974
0.008912014899166277,0.009743016804967312,0.009979565366570207,0.013421518633049518
0.009553410227769076,0.010450037830167966,0.010704008547184339,0.014317611997971613
0.010175522502462795,0.011119133674319517,0.011387487467945996,0.015166986031929347
0.010766689797009423,0.011760686756671477,0.012050648632763188,0.015966920670494517
0.011309126160439298,0.012362199220631118,0.012666534600045933,0.016723108825701893
0.01184126749619731,0.012933082378686045,0.013247954249351076,0.017426580021822857
0.01233037571802794,0.013468270029243643,0.013797743578893112,0.01808835937385587
0.012792179805177314,0.013973060953707485,0.014316979646544674,0.01870558571242662
0.013235633622205045,0.01445726780634857,0.014808268901562529,0.019278974377453337
0.013657353280786327,0.014910090838265928,0.015273225137247189,0.019817931647864113
0.01405346747054703,0.015338675964600684,0.015713917033839994,0.02032697924508732
0.014429109558180718,0.015742803051402365,0.01613230045559699,0.02080321403822758
